Region_group_of_destination,Location code of destination,WORLD,Latin America and the Caribbean,Europe and Northern America,Developed regions,Less developed regions,Less developed regions excluding least developed,Middle-income countries,Upper-middle-income-countries,Lower-middle-income countries,Low-income countries,AFRICA,ASIA,EUROPE,Caribbean,Central America,South America,NORTHERN AMERICA,year
  Central America,916,2302001,1194276,982489,988988,1265667,1258059,1210429,627223,583206,9678,2402,74274,104038,51844,743476,398956,878451,2020
  South America,931,10887474,9052250,1245614,1328307,9319522,8995398,8482200,7784035,698165,327145,43413,302662,1073490,424484,70263,8557503,172124,2020
 NORTHERN AMERICA,905,58708795,25535633,7958392,8494353,46161289,42834882,40777887,25815819,14962068,2186124,3268757,17549235,6869872,6798694,14943682,3793257,1088520,2020
 OCEANIA ,909,9380653,214569,3237714,4029027,5169146,4716181,4599668,2448553,2151115,185156,587673,4050511,2983395,11687,22048,180834,254319,2020
  Australia and New Zealand,927,9067584,209475,3136402,3902982,5006295,4564617,4470771,2399850,2070921,185156,585073,3961776,2909353,6593,22048,180834,227049,2020
  Melanesia,928,124073,0,50770,66338,48635,39289,35761,18735,17026,0,1892,24806,49774,0,0,0,996,2020
  Micronesia,954,118860,5094,22829,25965,85527,84095,68342,7821,60521,0,0,60573,7,5094,0,0,22822,2020
  Polynesia*,957,70136,0,27713,33742,28689,28180,24794,22147,2647,0,708,3356,24261,0,0,0,3452,2020
WORLD,900,247958644,36206000,60592402,62613012,174426790,132944110,157981964,77576140,80405824,31399947,35111959,103378019,56577753,8135307,16291222,11779471,4014649,2015
  Sub-Saharan Africa,947,20721874,28430,478832,491242,17382556,3799692,5621984,386768,5235216,11679184,17119491,235633,452197,13068,989,14373,26635,2015
  Northern Africa and Western Asia,1833,42036092,69539,2299628,2314255,37849384,30609221,29098477,5258274,23840203,9281367,5170960,32612758,2139019,268,3794,65477,160609,2015
  Central and Southern Asia,921,19266265,14978,4462475,4484168,13750467,5368114,13324074,4765935,8558139,4519354,60267,13691148,4375287,59,0,14919,87188,2015
  Eastern and South-Eastern Asia,1832,18027810,293779,458535,632709,16405940,11503421,15231006,8168153,7062853,13782,15761,16193555,189108,143,2359,291277,269427,2015
  Latin America and the Caribbean,1830,9441503,6166726,2473848,2554631,6472006,5844693,5207201,4125774,1081427,636121,39533,341807,1291715,993471,691735,4481520,1182133,2015
  Oceania (excluding Australia and New Zealand),1835,302810,4861,97412,121702,157752,146871,125249,48290,76959,0,2506,85932,71230,4861,0,0,26182,2015
  Australia and New Zealand,927,7769466,159787,2904774,3603595,4034820,3681497,3587529,1952793,1634736,146834,503256,3146091,2714704,6069,19290,134428,190070,2015
  Europe and Northern America,1829,130392824,29467900,47416898,48410710,78373865,71990601,85786444,52870153,32916291,5123305,12200185,37071095,45344493,7117368,15573055,6777477,2072405,2015
  Developed regions,901,140394479,29853910,50440550,52146178,84353343,77602538,90866507,55866217,35000290,5270139,12709831,41929231,48116266,7123437,15594486,7135987,2324284,2015
  Less developed regions,902,107564165,6352090,10151852,10466834,90073447,55341572,67115457,21709923,45405534,26129808,22402128,61448788,8461487,1011870,696736,4643484,1690365,2015
" Less developed regions, excluding least developed countries",934,94124050,6311803,9970201,10267259,78341208,51925772,62616868,20937683,41679185,19002051,12831061,59318619,8337143,997705,695766,4618332,1633058,2015
" Less developed regions, excluding China",948,103368940,6289522,10062583,10343429,86193998,51474774,63684063,18841010,44843053,26129808,22402128,57612844,8425390,1011870,696736,4580916,1637193,2015
  Least developed countries,941,13440115,40287,181651,199575,11732239,3415800,4498589,772240,3726349,7127757,9571067,2130169,124344,14165,970,25152,57307,2015
