Region_group_of_destination,Location code of destination,WORLD,Latin America and the Caribbean,Europe and Northern America,Developed regions,Less developed regions,Less developed regions excluding least developed,Middle-income countries,Upper-middle-income-countries,Lower-middle-income countries,Low-income countries,AFRICA,ASIA,EUROPE,Caribbean,Central America,South America,NORTHERN AMERICA,year
 EUROPE,908,63585731,3453004,34240566,34638449,27786297,25340525,41249398,24892830,16356568,2036165,7620545,16825888,33415975,590659,154019,2708326,824591,2005
  Eastern Europe,923,19744557,12498,11490371,11497006,7837224,7810299,17363561,10902048,6461513,509859,25516,7801479,11453663,4066,1356,7076,36708,2005
  Northern Europe,924,9588814,457405,4668255,4890252,4491511,3798256,4577459,2260573,2316886,430382,1188599,2879637,4329929,240782,21197,195426,338326,2005
  Southern Europe,925,12004024,2214175,6508233,6568992,5332451,4719735,7717276,5018939,2698337,249797,1986283,1144789,6354161,202899,82080,1929196,154072,2005
  Western Europe,926,22248336,768926,11573707,11682199,10125111,9012235,11591102,6711270,4879832,846127,4420147,4999983,11278222,142912,49386,576628,295485,2005
 LATIN AMERICA AND THE CARIBBEAN,904,7184113,4357513,2215736,2297059,4566568,4218434,3665444,2868439,797005,359807,21850,264943,1248692,703194,563563,3090756,967044,2005
  Caribbean,915,1275731,703367,464604,466362,724147,405644,312122,296341,15781,319011,2634,19476,165537,601238,17444,84685,299067,2005
  Central America,916,1378041,644805,640890,645885,685930,684153,654624,258235,396389,3046,1707,43622,72703,29231,503647,111927,568187,2005
  South America,931,4530341,3009341,1110242,1184812,3156491,3128637,2698698,2313863,384835,37750,17509,201845,1010452,72725,42472,2894144,99790,2005
 NORTHERN AMERICA,905,45363089,21019256,8121368,8630856,34460779,32580334,30263788,20970395,9293393,1232499,1524859,12195799,6988925,5201157,13240748,2577351,1132443,2005
 OCEANIA ,909,6024021,102885,2818826,3371053,2534878,2352041,2257198,1324802,932396,73026,327671,1862130,2658354,8152,14529,80204,160472,2005
  Australia and New Zealand,927,5717982,99412,2732969,3258707,2367012,2197587,2119760,1271906,847854,73026,324678,1765158,2600184,4679,14529,80204,132785,2005
  Melanesia,928,103881,0,35275,52300,42968,32921,33178,14862,18316,0,2192,21294,34073,0,0,0,1202,2005
  Micronesia,954,128390,3473,22335,25937,94972,92324,78429,14891,63538,0,0,72588,11,3473,0,0,22324,2005
  Polynesia*,957,73768,0,28247,34109,29926,29209,25831,23143,2688,0,801,3090,24086,0,0,0,4161,2005
WORLD,900,173230585,24628700,52877703,54458296,111708559,83646070,109879954,59585818,50294136,18002895,22080003,65333613,49727784,5966487,12228703,6433510,3149919,2000
  Sub-Saharan Africa,947,13151229,8183,464730,471455,11724105,1910799,3653833,270088,3383745,8043817,11605959,111194,441396,2893,235,5055,23334,2000
  Northern Africa and Western Asia,1833,20321397,55913,2226917,2238906,16685026,13174508,14697626,3850951,10846675,2595196,3289880,13342843,2103623,230,2899,52784,123294,2000
  Central and Southern Asia,921,20139825,10255,4321012,4333072,15275132,5888306,14875034,4722984,10152050,4483563,6100,15269431,4283297,34,0,10221,37715,2000
  Eastern and South-Eastern Asia,1832,10506212,342745,330879,437089,9184305,7616475,8252645,5369436,2883209,9107,15766,8882781,150990,222,2150,340373,179889,2000
  Latin America and the Caribbean,1830,6539738,3777576,2192784,2286385,3966593,3671473,3113579,2453575,660004,309234,20285,258933,1396387,639148,511753,2626675,796397,2000
  Oceania (excluding Australia and New Zealand),1835,296618,1606,79730,106042,166853,153335,137107,54884,82223,0,2817,97997,51151,1606,0,0,28579,2000
  Australia and New Zealand,927,5065063,87624,2693870,3147363,1833342,1723622,1661962,1004243,657719,40873,226043,1362205,2582983,4269,13770,69585,110887,2000
  Europe and Northern America,1829,97210503,20344798,40567781,41437984,52873203,49507552,63488168,41859657,21628511,2521105,6913153,26008229,38717957,5318085,11697896,3328817,1849824,2000
  Developed regions,901,103962010,20737821,43358192,44694341,56246319,52762010,66057663,43572984,22484679,2561978,7143697,28600308,41342533,5322354,11713406,3702061,2015659,2000
  Less developed regions,902,69268575,3890879,9519511,9763955,55462240,30884060,43822291,16012834,27809457,15440917,14936306,36733305,8385251,644133,515297,2731449,1134260,2000
" Less developed regions, excluding least developed countries",934,59204627,3869885,9369276,9600886,46407852,28410431,39913558,15399929,24513629,10339894,7754980,34875125,8279828,639292,514776,2715817,1089448,2000
" Less developed regions, excluding China",948,65850628,3863103,9452757,9672312,52566025,27997190,41077833,13733859,27343974,15440917,14936306,33850994,8358771,644133,515297,2703673,1093986,2000
  Least developed countries,941,10063948,20994,150235,163069,9054388,2473629,3908733,612905,3295828,5101023,7181326,1858180,105423,4841,521,15632,44812,2000
  Land-locked Developing Countries (LLDC),1636,11503826,231275,4713692,4718563,6019679,3226758,8186466,5439397,2747069,2381786,3394828,2397768,4699742,1013,12826,217436,13950,2000
  Small island developing States (SIDS),1637,3287168,700455,586941,623030,2420817,2019730,1923932,1440040,483892,309108,83724,1576018,242505,546700,49456,104299,344436,2000
  High-income countries,1503,101641715,21281197,32896823,34286380,63574683,57520455,61605235,37343770,24261465,3605879,8703335,33823114,30444071,5563828,11742187,3975182,2452752,2000
  Middle-income countries,1517,63873275,3247925,19476932,19664331,41990378,24599410,45824987,21861498,23963489,10500918,7893888,30950682,18792072,340109,485995,2421821,684860,2000
 Upper-middle-income countries,1502,35822210,3083977,13082508,13229930,21632390,16888112,26911162,14702672,12208490,3587583,1655720,16982234,12518007,336459,411741,2335777,564501,2000
 Lower-middle-income countries,1501,28051065,163948,6394424,6434401,20357988,7711298,18913825,7158826,11754999,6913335,6238168,13968448,6274065,3650,74254,86044,120359,2000
  Low-income countries,1500,7322731,11916,313976,314825,5983743,1446625,2366651,338231,2028420,3855948,5415746,556670,303210,4766,521,6629,10766,2000
 AFRICA,903,15051677,9501,573820,583091,13441582,2749969,4266229,429925,3836304,8940988,12753079,681816,533653,2917,965,5619,40167,2000
  Eastern Africa,910,4847119,50,118980,119445,4394033,334668,855534,57050,798484,3517115,4354686,39628,115836,50,0,0,3144,2000
  Middle Africa,911,1775284,266,53746,53778,1487714,277609,703797,57826,645971,785286,1484711,2753,52117,266,0,0,1629,2000
  Northern Africa,912,1900448,1318,109090,111636,1717477,839170,612396,159837,452559,897171,1147120,570622,92257,24,730,564,16833,2000
  Southern Africa,913,1267695,6552,256558,262692,931628,395125,613504,132880,480624,312996,870591,55294,245022,2348,229,3975,11536,2000
  Western Africa,914,5261131,1315,35446,35540,4910730,903397,1480998,22332,1458666,3428420,4895971,13519,28421,229,6,1080,7025,2000
 ASIA,935,49066986,407595,6769718,6897431,39426986,25840119,37212909,13783534,23429375,6190695,2164626,36924433,6445653,462,4319,402814,324065,2000
  Central Asia,5500,5189082,26,4235932,4236049,666778,647823,4708175,3967180,740995,134652,191,666561,4235587,26,0,0,345,2000
  Eastern Asia,906,5393004,335310,204841,260777,4648790,4618105,3866103,3136913,729190,62,5291,4338120,79133,0,1740,333570,125708,2000
  South-Eastern Asia,920,5113208,7435,126038,176312,4535515,2998370,4386542,2232523,2154019,9045,10475,4544661,71857,222,410,6803,54181,2000
  Southern Asia,5501,14950743,10229,85080,97023,14608354,5240483,10166859,755804,9411055,4348911,5909,14602870,47710,8,0,10221,37370,2000
  Western Asia,922,18420949,54595,2117827,2127270,14967549,12335338,14085230,3691114,10394116,1698025,2142760,12772221,2011366,206,2169,52220,106461,2000
 EUROPE,908,56858793,1699981,32326906,32700393,22925094,21064593,37383312,23474747,13908565,1554885,5797189,15541563,31590963,441759,102356,1155866,735943,2000
  Eastern Europe,923,20435785,12162,12224692,12229655,7739278,7714376,18063137,11506707,6556430,467564,22826,7705038,12195441,3858,1032,7272,29251,2000
  Northern Europe,924,7900973,410637,3875128,4091041,3598475,3076799,3820889,1983530,1837359,302469,928815,2295200,3564201,244318,16753,149566,310927,2000
  Southern Europe,925,7681658,718500,4619133,4668731,2798405,2343568,4786022,3245314,1540708,181213,1370522,719751,4497622,117839,44113,556548,121511,2000
  Western Europe,926,20840377,558682,11607953,11710966,8788936,7929850,10713264,6739196,3974068,603639,3475026,4821574,11333699,75744,40458,442480,274254,2000
 LATIN AMERICA AND THE CARIBBEAN,904,6539738,3777576,2192784,2286385,3966593,3671473,3113579,2453575,660004,309234,20285,258933,1396387,639148,511753,2626675,796397,2000
  Caribbean,915,1216872,647814,474449,476842,668261,399362,307768,293553,14215,269270,2607,19826,174206,540565,18786,88463,300243,2000
  Central America,916,1107577,568796,479845,485751,605955,604678,568911,222949,345962,3909,1425,40907,76055,29325,450936,88535,403790,2000
  South America,931,4215289,2560966,1238490,1323792,2692377,2667433,2236900,1937073,299827,36055,16253,198200,1146126,69258,42031,2449677,92364,2000
 NORTHERN AMERICA,905,40351710,18644817,8240875,8737591,29948109,28442959,26104856,18384910,7719946,966220,1115964,10466666,7126994,4876326,11595540,2172951,1113881,2000
 OCEANIA ,909,5361681,89230,2773600,3253405,2000195,1876957,1799069,1059127,739942,40873,228860,1460202,2634134,5875,13770,69585,139466,2000
  Australia and New Zealand,927,5065063,87624,2693870,3147363,1833342,1723622,1661962,1004243,657719,40873,226043,1362205,2582983,4269,13770,69585,110887,2000
  Melanesia,928,95281,0,29890,46693,41119,31107,29778,11659,18119,0,2055,17709,28637,0,0,0,1253,2000
  Micronesia,954,130186,1606,22666,26567,95888,93099,81261,19544,61717,0,0,77720,13,1606,0,0,22653,2000
  Polynesia*,957,71151,0,27174,32782,29846,29129,26068,23681,2387,0,762,2568,22501,0,0,0,4673,2000
WORLD,900,161289976,19669704,51582164,52993691,100818788,72701450,98929758,53059271,45870487,18959483,22341394,59147922,48636003,5035853,9288464,5345387,2946161,1995
  Sub-Saharan Africa,947,14275437,7946,421399,428086,12911648,1673466,3202066,220369,2981697,9687644,12813616,91221,398770,2836,249,4861,22629,1995
  Northern Africa and Western Asia,1833,18912064,51498,2287605,2301041,15217292,11709314,13202142,3785994,9416148,2720357,3293685,11877220,2166088,151,2583,48764,121517,1995
  Central and Southern Asia,921,21247814,5420,4903088,4915851,15683570,6463982,16231909,5235992,10995917,4111175,10718,15676606,4863593,33,0,5387,39495,1995
  Eastern and South-Eastern Asia,1832,8339806,236277,247149,333206,7221922,6216481,6317966,4308173,2009793,4662,15226,7019460,105929,114,1336,234827,141220,1995
  Latin America and the Caribbean,1830,6661553,3670383,2289656,2390150,3851171,3584665,3007796,2246662,761134,282538,19478,258892,1600698,579841,680929,2409613,688958,1995
  Oceania (excluding Australia and New Zealand),1835,280580,1327,80022,109870,148533,135652,120587,46432,74155,0,2528,86641,47299,1327,0,0,32723,1995
  Australia and New Zealand,927,4741947,86585,2707003,3101960,1578706,1483754,1428643,831307,597336,28273,179490,1180338,2604914,3527,12746,70312,102089,1995
  Europe and Northern America,1829,86830775,15610268,38646242,39413527,44205946,41434136,55418649,36384342,19034307,2124834,6006653,22957544,36848712,4448024,8590621,2571623,1797530,1995
  Developed regions,901,92935093,15916691,41436153,42606608,47033770,44160544,57436480,37697496,19738984,2153107,6189244,25164061,39485417,4451551,8604622,2860518,1950736,1995
  Less developed regions,902,68354883,3753013,10146011,10387083,53785018,28540906,41493278,15361775,26131503,16806376,16152150,33983861,9150586,584302,683842,2484869,995425,1995
" Less developed regions, excluding least developed countries",934,56673106,3736125,10008770,10237641,43037176,26278038,37930318,14799626,23130692,9655866,7153981,32245592,9055820,579109,683292,2473724,952950,1995
" Less developed regions, excluding China",948,65243958,3739047,10089613,10308777,51093664,25857721,38940358,13243578,25696780,16806376,16152150,31294159,9125059,584302,683842,2470903,964554,1995
  Least developed countries,941,11681777,16888,137241,149442,10747842,2262868,3562960,562149,3000811,7150510,8998169,1738269,94766,5193,550,11145,42475,1995
  Land-locked Developing Countries (LLDC),1636,12370057,230812,5409672,5414526,6107149,3162522,8725127,6017301,2707826,2606368,3479895,2400703,5397176,772,12907,217133,12496,1995
  Small island developing States (SIDS),1637,2758806,628371,560267,598126,1862593,1500946,1425553,1029902,395651,280553,86595,1092979,223072,494330,45355,88686,337195,1995
  High-income countries,1503,87896678,16374656,30500368,31711604,52437997,47235694,50674187,30116162,20558025,3071065,7625829,28667067,28144425,4663118,8630101,3081437,2355943,1995
  Middle-income countries,1517,64071357,3199409,20571507,20768329,40655557,24142633,46053899,22521279,23532620,10111059,7547948,30020059,19992803,312039,657813,2229557,578704,1995
 Upper-middle-income countries,1502,35213683,2930933,13209341,13364831,20484053,15896778,25443867,14507412,10936455,4056530,1469536,16184490,12741817,309025,460377,2161531,467524,1995
 Lower-middle-income countries,1501,28857674,268476,7362166,7403498,20171504,8245855,20610032,8013867,12596165,6054529,6078412,13835569,7250986,3014,197436,68026,111180,1995
  Low-income countries,1500,8995692,11845,356500,357243,7596522,1251601,2136622,380704,1755918,5743487,7127106,458054,346361,5131,550,6164,10139,1995
 AFRICA,903,16357077,9417,586122,597864,14752584,2415638,3742040,357608,3384432,10803622,14179992,567843,539020,2860,949,5608,47102,1995
  Eastern Africa,910,4977644,162,94028,94383,4510297,310159,737162,48877,688285,3756961,4482416,27934,91511,162,0,0,2517,1995
  Middle Africa,911,2662490,190,49741,49767,2417060,254119,602785,46293,556492,1815287,2414771,2112,48495,190,0,0,1246,1995
  Northern Africa,912,2081640,1471,164723,169778,1840936,742172,539974,137239,402735,1115978,1366376,476622,140250,24,700,747,24473,1995
  Southern Africa,913,1201708,6213,240121,246340,887023,302967,492992,102515,390477,388775,834340,47307,228301,2292,244,3677,11820,1995
  Western Africa,914,5433595,1381,37509,37596,5097268,806221,1369127,22684,1346443,3726621,5082089,13868,30463,192,5,1184,7046,1995
 ASIA,935,46418044,291724,7273119,7380320,36281848,23647605,35212043,13192920,22019123,5720216,1953253,34096664,6995360,274,3219,288231,277759,1995
  Central Asia,5500,5904795,30,4822654,4822789,674272,658753,5313561,4461911,851650,100650,221,674021,4822254,30,0,0,400,1995
  Eastern Asia,906,4639749,235157,165707,206148,4060324,4039970,3260671,2688182,572489,56,3441,3843056,64669,0,1255,233902,101038,1995
  South-Eastern Asia,920,3700057,1120,81442,127058,3161598,2176511,3057295,1619991,1437304,4606,11785,3176404,41260,114,81,925,40182,1995
  Southern Asia,5501,15343019,5390,80434,93062,15009298,5805229,10918348,774081,10144267,4010525,10497,15002585,41339,3,0,5387,39095,1995
  Western Asia,922,16830424,50027,2122882,2131263,13376356,10967142,12662168,3648755,9013413,1604379,1927309,11400598,2025838,127,1883,48017,97044,1995
 EUROPE,908,53489827,1340812,30731851,31061370,21081523,19481893,35549368,22461500,13087868,1400090,5179831,14667430,29988843,356491,78809,905512,743008,1995
  Eastern Europe,923,21344124,11743,13035105,13039683,7819842,7790402,18960666,12381370,6579296,500661,23051,7785440,13007262,3877,874,6992,27843,1995
  Northern Europe,924,7194824,349688,3860460,4041679,2988210,2583493,3518068,1921055,1597013,221690,730256,1941469,3540898,214725,12237,122726,319562,1995
  Southern Europe,925,6230114,484471,3685402,3735261,2139884,1754412,3663400,2490669,1172731,151798,1077432,590532,3546099,72539,29076,382856,139303,1995
  Western Europe,926,18720765,494910,10150884,10244747,8133587,7353586,9407234,5668406,3738828,525941,3349092,4349989,9894584,65350,36622,392938,256300,1995
 LATIN AMERICA AND THE CARIBBEAN,904,6661553,3670383,2289656,2390150,3851171,3584665,3007796,2246662,761134,282538,19478,258892,1600698,579841,680929,2409613,688958,1995
  Caribbean,915,1121563,583063,448158,450275,600775,357863,275603,262642,12961,243131,2240,17283,158593,489402,17457,76204,289565,1995
  Central America,916,1298916,715741,382397,387295,746314,745193,706038,211445,494593,2830,1281,33622,69859,23127,622093,70521,312538,1995
  South America,931,4241074,2371579,1459101,1552580,2504082,2481609,2026155,1772575,253580,36577,15957,207987,1372246,67312,41379,2262888,86855,1995
 NORTHERN AMERICA,905,33340948,14269456,7914391,8352157,23124423,21952243,19869281,13922842,5946439,724744,826822,8290114,6859869,4091533,8511812,1666111,1054522,1995
 OCEANIA ,909,5022527,87912,2787025,3211830,1727239,1619406,1549230,877739,671491,28273,182018,1266979,2652213,4854,12746,70312,134812,1995
  Australia and New Zealand,927,4741947,86585,2707003,3101960,1578706,1483754,1428643,831307,597336,28273,179490,1180338,2604914,3527,12746,70312,102089,1995
  Melanesia,928,96828,0,27920,49080,40454,30858,30373,12321,18052,0,1820,18832,26283,0,0,0,1637,1995
  Micronesia,954,118687,1327,26594,30280,81227,78561,66812,12719,54093,0,0,65671,18,1327,0,0,26576,1995
  Polynesia*,957,65065,0,25508,30510,26852,26233,23402,21392,2010,0,708,2138,20998,0,0,0,4510,1995
WORLD,900,152986157,15273399,50532413,51826246,92519577,62696205,88958999,46251718,42707281,21142448,20621464,56957000,47730278,4139775,6823036,4310588,2802135,1990
  Sub-Saharan Africa,947,13286341,8497,451346,459671,11835246,1486015,3114727,200693,2914034,8703001,11741856,86266,426230,2864,337,5296,25116,1990
  Northern Africa and Western Asia,1833,17608769,44460,2377910,2392857,13933638,10290728,11805106,3563305,8241801,2966108,3434951,10460973,2259563,86,2197,42177,118347,1990
  Central and Southern Asia,921,26168623,589,5515044,5528522,19705482,7003855,17512955,5672330,11840625,7459273,15361,19697225,5473732,37,0,552,41312,1990
  Eastern and South-Eastern Asia,1832,6835882,75239,208066,286149,5775335,5191700,4870344,3485669,1384675,5060,16924,5729543,95531,102,847,74290,112535,1990
  Latin America and the Caribbean,1830,7135971,3980808,2419971,2528120,4157670,3918912,3314634,2061127,1253507,256604,19192,263267,1817209,523950,1253201,2203657,602762,1990
  Oceania (excluding Australia and New Zealand),1835,258678,1117,78727,107527,130525,118368,104084,38847,65237,0,2216,75767,42359,1117,0,0,36368,1990
  Australia and New Zealand,927,4473260,81984,2699258,3069242,1378725,1301107,1248207,726691,521516,15817,159742,1008125,2603009,2804,11005,68175,96249,1990
  Europe and Northern America,1829,77218633,11080705,36782091,37454158,35602956,33385520,46988942,30503056,16485886,1736585,5231222,19635834,35012645,3608815,5555449,1916441,1769446,1990
  Developed regions,901,82767210,11232859,39549470,40596772,37973694,35675359,48540576,31467011,17073565,1752402,5392123,21564643,37640490,3611619,5567240,2054000,1908980,1990
  Less developed regions,902,70218947,4040540,10982943,11229474,54545883,27020846,40418423,14784707,25633716,19390046,15229341,35392357,10089788,528156,1255796,2256588,893155,1990
" Less developed regions, excluding least developed countries",934,59158726,4028050,10861681,11096531,44341114,25142254,37207346,14279128,22928218,12419089,6442344,33982015,10008718,522711,1255216,2250123,852963,1990
" Less developed regions, excluding China",948,67419066,4036926,10939633,11167300,52059743,24541727,38051935,12826383,25225552,19390046,15229341,32899176,10067729,528156,1255796,2252974,871904,1990
  Least developed countries,941,11060221,12490,121262,132943,10204769,1878592,3211077,505579,2705498,6970957,8786997,1410342,81070,5445,580,6465,40192,1990
  Land-locked Developing Countries (LLDC),1636,14212843,229130,6210950,6215934,7046943,2807534,9008463,6526929,2481534,4037108,4776285,2045970,6199168,567,12870,215693,11782,1990
  Small island developing States (SIDS),1637,2312665,558153,535559,571072,1365300,1061009,982999,687774,295225,252573,69809,688903,203598,441417,41653,75083,331961,1990
  High-income countries,1503,76295202,11606947,28493395,29572905,42021535,37589556,40194118,22857458,17336660,2586544,6747963,23874694,26203905,3792515,5590653,2223779,2289490,1990
  Middle-income countries,1517,67228996,3574943,21492661,21703542,42556857,23980957,46609443,22913814,23695629,12436995,6442942,32664148,20991096,288516,1231803,2054624,501565,1990
 Upper-middle-income countries,1502,35289343,3179940,12996117,13166671,20660526,15137113,24210955,14002288,10208667,5322475,1366488,16230666,12605008,285515,895249,1999176,391109,1990
 Lower-middle-income countries,1501,31939653,395003,8496544,8536871,21896331,8843844,22398488,8911526,13486962,7114520,5076454,16433482,8386088,3001,336554,55448,110456,1990
  Low-income countries,1500,9193274,11565,425569,426343,7835868,1061803,2102186,440527,1661659,6090345,7408983,415823,415675,5397,580,5588,9894,1990
 AFRICA,903,15689666,10188,680256,696330,13926799,2153279,3603629,319979,3283650,10143177,13431488,492107,622122,2889,1033,6266,58134,1990
  Eastern Africa,910,5959183,164,80302,80687,5513724,237772,574053,36536,537517,4929324,5493292,20505,77968,164,0,0,2334,1990
  Middle Africa,911,1461155,164,46538,46557,1237101,233616,754117,35627,718490,483867,1235281,1666,45733,164,0,0,805,1990
  Northern Africa,912,2403325,1691,228910,236659,2091553,667264,488902,119286,369616,1440176,1689632,405841,195892,25,696,970,33018,1990
  Southern Africa,913,1395265,6935,286997,294835,978550,294198,527552,106122,421430,444220,922363,50312,271865,2386,333,4216,15132,1990
  Western Africa,914,4470738,1234,37509,37592,4105871,720429,1259005,22408,1236597,2845590,4090920,13783,30664,150,4,1080,6845,1990
 ASIA,935,48209949,118597,7872110,7970869,37322902,21819019,33699503,12602018,21097485,8990265,1777604,35481900,7632934,200,2348,116049,239176,1990
  Central Asia,5500,6630683,37,5439295,5439461,671884,663003,5959668,4986035,973633,47239,273,671574,5438801,37,0,0,494,1990
  Eastern Asia,906,3959266,74357,129673,158990,3532915,3521776,2721222,2242244,478978,51,1159,3472803,51817,0,786,73571,77856,1990
  South-Eastern Asia,920,2876616,882,78393,127159,2242420,1669924,2149122,1243425,905697,5009,15765,2256740,43714,102,61,719,34679,1990
  Southern Asia,5501,19537940,552,75749,89061,19033598,6340852,11553287,686295,10866992,7412034,15088,19025651,34931,0,0,552,40818,1990
  Western Asia,922,15205444,42769,2149000,2156198,11842085,9623464,11316204,3444019,7872185,1525932,1745319,10055132,2063671,61,1501,41207,85329,1990
 EUROPE,908,49608225,1104536,29136831,29428587,19140735,17772590,33197699,20935850,12261849,1246003,4682594,13453956,28367362,297313,63442,743781,769469,1990
  Eastern Europe,923,21995312,11129,13810324,13814527,7670534,7637228,19600284,13145953,6454331,518476,22975,7636513,13783392,3802,717,6610,26932,1990
  Northern Europe,924,6645605,290476,3967820,4118305,2416827,2123448,3258582,1862502,1396080,142437,546557,1610470,3629383,188868,7648,93960,338437,1990
  Southern Europe,925,4340433,365575,2423277,2475159,1736155,1394577,2357047,1445912,911135,137895,894648,490981,2257843,49533,22406,293636,165434,1990
  Western Europe,926,16626875,437356,8935410,9020596,7317219,6617337,7981786,4481483,3500303,447195,3218414,3715992,8696744,55110,32671,349575,238666,1990
 LATIN AMERICA AND THE CARIBBEAN,904,7135971,3980808,2419971,2528120,4157670,3918912,3314634,2061127,1253507,256604,19192,263267,1817209,523950,1253201,2203657,602762,1990
  Caribbean,915,1031083,519266,426110,427979,534534,317031,244024,231905,12119,217573,1943,14968,144291,437177,16519,65570,281819,1990
  Central America,916,1829911,1277036,308402,312608,1303921,1302712,1253628,220404,1033224,2000,1423,29212,69985,20425,1195652,60959,238417,1990
  South America,931,4274977,2184506,1685459,1787533,2319215,2299169,1816982,1608818,208164,37031,15826,219087,1602933,66348,41030,2077128,82526,1990
 NORTHERN AMERICA,905,27610408,9976169,7645260,8025571,16462221,15612930,13791243,9567206,4224037,490582,548628,6181878,6645283,3311502,5492007,1172660,999977,1990
 OCEANIA ,909,4731938,83101,2777985,3176769,1509250,1419475,1352291,765538,586753,15817,161958,1083892,2645368,3921,11005,68175,132617,1990
  Australia and New Zealand,927,4473260,81984,2699258,3069242,1378725,1301107,1248207,726691,521516,15817,159742,1008125,2603009,2804,11005,68175,96249,1990
  Melanesia,928,91200,0,24906,45664,38895,29876,30134,13050,17084,0,1576,19231,23303,0,0,0,1603,1990
  Micronesia,954,108969,1117,30441,34086,67780,65180,53228,6707,46521,0,0,54838,23,1117,0,0,30418,1990
  Polynesia*,957,58509,0,23380,27777,23850,23312,20722,19090,1632,0,640,1698,19033,0,0,0,4347,1990
